Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"45036, Lebanon, OH",45036,39659,384,386,3444,3441,34773,34146,1063,38596,24,14,0,600,70,34146,89581.46755,74180,29628,116,116,12200,168,66,2,0,4,82,14
"45039, Maineville, OH",45039,24583,504,503,594,592,22998,22528,589,23994,6,2,4,462,42,22528,109498.3302,90990,41619,181,179,8769,121,22,1,2,0,86,10
"45040, Mason, OH",45040,52382,7197,7145,2284,2248,41594,40299,1756,50626,22,18,7,1359,72,40299,121359.9031,98380,42161,2078,2072,14915,339,84,7,6,2,225,15
"45041, Miamitown, OH",45041,270,1,1,1,1,259,258,1,269,0,0,0,1,0,258,60813.69524,58571,23650,0,0,102,0,0,0,0,0,0,0
"45042, Middletown, OH",45042,25231,136,129,926,887,23539,23399,290,24941,13,0,3,186,24,23399,67033.67741,55336,27376,37,36,9673,70,11,5,1,0,47,6
"45044, Middletown, OH",45044,52083,885,870,6747,6517,41869,41032,2158,49925,161,9,6,930,203,41032,70848.54062,53847,26593,249,249,16023,528,168,46,0,2,285,27
"45050, Monroe, OH",45050,8787,212,208,420,409,7902,7812,200,8587,2,2,0,106,17,7812,83452.73041,76270,31928,59,59,3042,50,14,0,0,0,31,5
"45051, Mount Saint Joseph, OH",45051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45052, North Bend, OH",45052,4344,11,12,61,65,4151,4114,67,4277,0,10,0,26,18,4114,77790.20854,65636,29853,3,3,1588,13,2,0,0,2,7,2
"45053, Okeana, OH",45053,3673,5,5,12,13,3596,3573,35,3638,0,2,0,20,6,3573,90135.57975,78779,32002,1,1,1287,7,1,0,0,0,6,0
"45054, Oregonia, OH",45054,2213,8,8,22,21,2152,2138,24,2189,0,1,0,15,2,2138,99789.59559,80147,36795,3,3,796,4,1,0,0,0,3,0
"45056, Oxford, OH",45056,26904,1352,1327,1079,1042,23574,23251,581,26323,19,3,4,375,52,23251,67753.0943,42632,20766,356,356,7024,105,22,4,0,0,66,13
"45062, Seven Mile, OH",45062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45064, Somerville, OH",45064,1944,4,4,16,14,1880,1874,16,1928,0,1,0,13,1,1874,83794.5157,69643,29412,1,1,652,3,0,0,0,0,3,0
"45065, South Lebanon, OH",45065,4810,46,46,84,81,4592,4509,105,4705,4,0,1,80,3,4509,75377.40411,51307,27532,16,15,1687,14,4,1,1,0,8,0
"45066, Springboro, OH",45066,23430,758,746,511,491,21739,21448,404,23026,16,1,6,303,21,21448,121718.3901,104456,42398,221,220,7616,67,15,4,1,1,43,3
"45067, Trenton, OH",45067,14343,73,66,150,137,13752,13631,234,14109,4,1,3,152,38,13631,71793.94306,64957,25160,18,18,4893,50,9,0,0,1,36,4
"45068, Waynesville, OH",45068,10633,106,107,67,67,10283,10171,151,10482,1,2,1,106,11,10171,94221.9484,79006,35024,25,25,3841,24,5,0,0,0,17,2
"45069, West Chester, OH",45069,49705,3796,3703,4137,3997,39656,38656,2202,47503,67,23,25,1162,166,38656,114969.3548,95451,41391,1137,1132,14842,538,134,13,5,5,356,25
"45101, Aberdeen, OH",45101,2541,3,3,42,42,2441,2419,37,2504,1,0,0,21,2,2419,48139.52565,34563,21144,1,1,1076,10,4,0,0,0,6,0
"45102, Amelia, OH",45102,23597,230,222,330,306,22534,22321,356,23241,16,7,3,235,38,22321,76189.61598,64931,28446,54,54,8458,98,17,6,0,1,68,6
"45103, Batavia, OH",45103,31471,442,430,536,515,29845,29584,433,31038,10,9,3,292,54,29584,81428.01544,64813,31045,109,106,11343,127,26,8,3,2,81,5
