Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"30316, Atlanta, GA",30316,32859,384,379,20982,20925,10225,9542,1292,31567,165,16,7,570,146,9542,72885.9344,54437,30651,163,157,5036,393,93,59,6,5,190,40
"30317, Atlanta, GA",30317,12834,174,173,7558,7567,4696,4456,324,12510,51,2,2,177,41,4456,79266.41978,56243,35316,64,64,2328,111,17,18,0,1,62,13
"30318, Atlanta, GA",30318,58004,3858,3823,33070,32663,18225,16828,3396,54608,377,23,32,1431,276,16828,72299.87303,45020,28302,905,900,7326,881,297,125,5,6,380,68
"30319, Atlanta, GA",30319,39003,2407,2466,3780,3761,29260,26541,5315,33688,143,102,22,2484,756,26541,133449.2281,96967,62528,1060,1055,14128,1386,403,43,5,26,727,182
"30322, Atlanta, GA",30322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30324, Atlanta, GA",30324,26830,2238,2196,5803,5499,15664,13540,4904,21926,256,90,23,2197,327,13540,90367.67854,66759,49272,1176,1167,9040,1338,451,95,9,14,688,81
"30326, Atlanta, GA",30326,5440,372,380,549,535,4331,4112,280,5160,27,0,1,194,11,4112,140808.5813,104066,80631,215,215,2466,124,23,8,0,0,88,5
"30327, Atlanta, GA",30327,22999,957,963,1471,1448,19758,18994,1221,21778,44,7,8,723,107,18994,210552.9892,135551,87416,363,363,8340,303,73,4,0,1,199,26
"30328, Atlanta, GA",30328,32676,2739,2715,5144,4976,22884,21202,3024,29652,169,19,24,1681,176,21202,119389.8744,84083,56178,1168,1160,11181,849,230,62,8,6,486,57
"30329, Atlanta, GA",30329,29312,2585,2436,4242,3769,15534,11342,11033,18279,292,177,31,4527,881,11342,76054.32569,52023,30654,1030,1023,6812,2507,1089,78,7,43,1082,208
"30331, Atlanta, GA",30331,58059,231,224,55004,54458,1143,823,1666,56393,474,16,7,393,200,823,72027.61704,54178,28472,79,76,492,373,125,120,3,7,85,33
"30332, Atlanta, GA",30332,12,3,2,1,1,7,7,1,11,0,0,0,1,0,7,86400,87500,10436,0,0,0,0,0,0,0,0,0,0
"30334, Atlanta, GA",30334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30336, Atlanta, GA",30336,778,3,3,744,735,12,8,18,760,9,0,0,4,3,8,102404.5974,90341,40009,1,1,4,4,0,3,0,0,1,0
"30337, Atlanta, GA",30337,12274,131,116,9824,9655,1611,1438,794,11480,132,13,15,211,54,1438,57543.25403,41518,23318,33,32,803,188,89,32,1,3,49,14
