Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","# Asian Non-Hispanic Head of Households, 2014"
"75219, Dallas, TX",75219,"24,509","1,432","1,409","2,589","2,539","16,807","11,725","8,331","16,178",94,61,47,"5,005",334,"100,889.62 ","70,853.00 ","54,004.00 ",686,"9,851","2,898",897,26,12,22,"1,812",129,674
"75220, Dallas, TX",75220,"43,485",347,203,"1,598",775,"24,650","6,130","35,922","7,563",446,356,46,"19,217","1,437","70,017.25 ","39,564.00 ","22,155.00 ",136,"8,152","9,996","4,069",146,10,84,"5,268",419,126
"75223, Dallas, TX",75223,"14,919",155,105,"2,030","1,586","7,237","2,062","10,939","3,980",126,82,29,"5,560",481,"57,651.06 ","39,071.00 ","17,650.00 ",50,"2,293","2,582","1,095",17,3,12,"1,345",110,47
"75224, Dallas, TX",75224,"36,036",611,536,"11,103","9,938","14,846","3,195","21,917","14,119",319,145,29,"12,581",875,"51,336.57 ","38,862.00 ","15,844.00 ",164,"4,091","5,004","1,812",57,4,37,"2,899",195,160
"75225, Dallas, TX",75225,"22,917",525,600,158,179,"21,859","21,068",795,"22,122",2,10,1,656,48,"212,887.27 ","154,058.00 ","86,652.00 ",183,"8,939",269,28,0,0,2,229,10,183
"75226, Dallas, TX",75226,"3,605",156,150,633,613,"1,821","1,017","1,746","1,859",6,7,3,822,93,"57,605.15 ","45,769.00 ","28,937.00 ",70,920,570,266,3,2,3,273,23,68
"75227, Dallas, TX",75227,"54,835",474,379,"17,490","15,332","21,114","4,689","33,812","21,023",338,260,50,"18,363","1,424","52,123.93 ","41,933.00 ","15,754.00 ",135,"5,992","7,797","3,139",63,11,55,"4,191",338,124
"75228, Dallas, TX",75228,"70,212","2,133","1,925","16,575","15,111","34,980","15,852","36,084","34,128",441,320,78,"20,365","1,669","53,849.28 ","42,025.00 ","19,174.00 ",612,"13,184","9,044","3,288",91,15,78,"5,165",407,597
"75229, Dallas, TX",75229,"33,720",949,907,"1,306","1,165","26,508","16,450","14,577","19,143",165,125,62,"10,000",575,"120,941.27 ","82,529.00 ","43,190.00 ",341,"9,923","3,726",912,36,17,32,"2,570",159,324
"75230, Dallas, TX",75230,"27,954","1,086","1,101","2,199","2,195","22,157","18,756","5,314","22,640",61,142,14,"3,300",173,"141,760.48 ","78,159.00 ","65,074.00 ",426,"10,359","1,866",563,18,8,43,"1,174",60,418
