Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"02459, Newton Center, MA",02459,"18,845","2,620","2,663",447,438,"15,114","14,570",640,"18,205",17,6,3,481,65,"14,570","191,186.39 ","142,148.00 ","71,815.00 ",810,809,"5,936",166,17,3,1,1,135,9
"02460, Newtonville, MA",02460,"9,349","1,062","1,077",285,266,"7,546","7,237",452,"8,897",25,6,7,274,58,"7,237","149,322.97 ","113,732.00 ","61,327.00 ",353,353,"3,249",147,28,5,0,2,97,15
"02461, Newton Highlands, MA",02461,"7,632","1,192","1,206",270,264,"5,885","5,616",334,"7,298",10,5,3,245,21,"5,616","159,451.81 ","122,937.00 ","60,781.00 ",379,378,"2,352",87,12,1,1,0,70,3
"02462, Newton Lower Falls, MA",02462,"1,757",251,258,62,47,"1,409","1,368",53,"1,704",16,1,0,32,0,"1,368","192,009.57 ","130,833.00 ","77,702.00 ",84,84,596,13,1,3,0,0,9,0
"02464, Newton Upper Falls, MA",02464,"2,975",595,601,136,131,"2,110","2,015",138,"2,837",7,0,2,84,14,"2,015","128,346.09 ","98,548.00 ","52,439.00 ",187,187,918,35,9,1,0,0,23,2
"02465, West Newton, MA",02465,"11,512","1,216","1,235",338,317,"9,423","8,996",610,"10,902",27,8,3,393,45,"8,996","188,570.57 ","133,884.00 ","71,883.00 ",376,375,"3,733",166,35,7,1,2,114,7
"02466, Auburndale, MA",02466,"8,544","1,206","1,230",284,273,"6,778","6,502",324,"8,220",16,2,0,243,13,"6,502","157,069.98 ","117,869.00 ","58,195.00 ",382,382,"2,529",83,12,2,0,1,65,3
"02467, Chestnut Hill, MA",02467,"20,635","3,285","3,276",897,826,"15,556","14,790","1,132","19,503",73,7,16,756,88,"14,790","182,143.92 ","122,467.00 ","61,141.00 ",942,942,"5,392",218,46,7,0,1,158,6
"02468, Waban, MA",02468,"4,987",456,467,79,74,"4,308","4,189",125,"4,862",7,1,0,103,8,"4,189","226,901.33 ","199,020.00 ","84,774.00 ",147,147,"1,660",29,1,2,0,0,24,2
"02472, Watertown, MA",02472,"33,975","2,845","2,887","1,176","1,128","28,222","26,844","1,913","32,062",74,16,24,"1,258",166,"26,844","106,828.95 ","93,235.00 ","49,149.00 ","1,123","1,120","13,495",603,106,20,3,5,423,46
"02474, Arlington, MA",02474,"26,760","2,713","2,767",840,809,"22,151","21,360",998,"25,762",49,16,7,694,109,"21,360","119,181.66 ","95,292.00 ","53,464.00 ",978,978,"10,393",304,38,15,0,4,221,26
"02476, Arlington, MA",02476,"17,532","1,709","1,745",463,457,"14,637","14,151",609,"16,923",16,6,3,425,64,"14,151","125,210.99 ","105,702.00 ","50,815.00 ",553,551,"6,206",154,21,5,2,2,109,15
"02478, Belmont, MA",02478,"24,368","2,967","3,006",538,531,"19,886","19,228",814,"23,554",16,10,10,587,86,"19,228","147,645.71 ","114,618.00 ","58,147.00 ",947,943,"8,208",228,32,3,4,2,174,13
"02481, Wellesley Hills, MA",02481,"16,422","1,590","1,534",366,343,"13,942","13,532",625,"15,797",12,8,5,486,23,"13,532","245,776.90 ","194,059.00 ","78,196.00 ",394,393,"4,584",124,19,1,1,1,98,4
"02482, Wellesley, MA",02482,"12,457","1,584","1,527",379,352,"10,053","9,776",478,"11,979",18,7,16,336,26,"9,776","173,562.60 ","141,362.00 ","57,485.00 ",322,321,"3,530",92,10,2,1,3,75,1
"02492, Needham, MA",02492,"19,848","1,220","1,169",225,202,"17,973","17,662",457,"19,391",15,1,4,380,14,"17,662","179,256.70 ","151,414.00 ","63,718.00 ",333,333,"6,508",104,6,4,0,0,94,0
"02493, Weston, MA",02493,"11,441","1,283","1,295",259,239,"9,563","9,302",317,"11,124",22,2,0,245,17,"9,302","269,711.01 ","188,810.00 ","93,237.00 ",367,367,"3,417",62,3,1,0,0,57,1
"02494, Needham Heights, MA",02494,"8,787",808,786,128,124,"7,608","7,486",199,"8,588",1,1,2,150,12,"7,486","151,088.61 ","116,561.00 ","56,457.00 ",255,255,"2,933",48,5,0,0,0,41,2
"02538, East Wareham, MA",02538,"4,985",54,54,238,227,"4,163","4,068",147,"4,838",13,4,0,89,20,"4,068","72,295.71 ","62,621.00 ","29,575.00 ",13,13,"1,738",33,6,5,0,1,20,1
