Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"63138, Saint Louis, MO",63138,"20,346",89,87,"15,712","15,620","3,880","3,809",275,"20,071",82,9,2,81,53,"3,809","54,042.86 ","39,655.00 ","21,641.00 ",34,33,"1,842",63,12,20,1,1,21,8
"63139, Saint Louis, MO",63139,"23,096",805,773,"2,019","1,932","19,352","18,951",851,"22,245",25,10,7,507,70,"18,951","65,916.05 ","54,599.00 ","33,769.00 ",351,349,"10,229",324,85,9,2,5,206,17
"63140, Saint Louis, MO",63140,406,1,1,354,351,41,32,18,388,0,0,0,12,2,32,"51,078.16 ","42,000.00 ","17,991.00 ",0,0,19,5,1,0,0,0,4,0
"63141, Saint Louis, MO",63141,"20,878","2,300","2,246","1,505","1,456","16,415","16,116",561,"20,317",16,2,2,395,48,"16,116","153,488.14 ","114,424.00 ","63,929.00 ",802,802,"6,882",177,41,5,0,0,121,10
"63143, Saint Louis, MO",63143,"9,557",323,318,"1,651","1,617","6,993","6,786",431,"9,126",7,5,0,246,48,"6,786","52,547.35 ","39,093.00 ","27,307.00 ",164,164,"3,668",163,49,2,0,2,99,11
"63144, Saint Louis, MO",63144,"8,995",664,645,552,526,"7,480","7,331",273,"8,722",12,2,2,185,28,"7,331","89,304.73 ","75,967.00 ","45,465.00 ",321,319,"3,920",104,13,4,2,2,71,12
"63146, Saint Louis, MO",63146,"29,429","3,178","3,119","3,929","3,828","21,009","20,507","1,140","28,289",36,6,7,633,107,"20,507","86,854.75 ","70,291.00 ","41,999.00 ","1,249","1,248","10,684",379,131,14,1,2,209,22
"63147, Saint Louis, MO",63147,"11,499",7,7,"10,586","10,556",579,566,190,"11,309",28,0,0,15,2,566,"50,540.92 ","38,119.00 ","18,364.00 ",2,2,212,16,2,8,0,0,5,1
"63155, Saint Louis, MO",63155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0,0
"63301, Saint Charles, MO",63301,"50,592",709,678,"3,117","3,001","44,898","43,611","2,270","48,322",44,22,15,"1,401",105,"43,611","75,930.18 ","62,275.00 ","31,383.00 ",152,147,"18,563",465,147,4,5,6,283,20
