Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"80456, Jefferson, CO",80456,257,2,2,0,0,242,230,19,238,0,1,0,13,2,230,"63,193.05 ","54,348.00 ","32,211.00 ",0,0,126,6,1,0,0,4,1
"80457, Kittredge, CO",80457,687,3,4,3,4,641,610,32,655,0,2,0,21,6,610,"79,609.17 ","64,925.00 ","34,416.00 ",0,0,288,9,0,0,0,9,0
"80465, Morrison, CO",80465,"15,979",260,323,97,117,"14,852","13,537","1,523","14,456",6,36,10,"1,108",135,"13,537","122,148.47 ","94,270.00 ","46,636.00 ",85,84,"5,805",412,60,1,7,320,23
"80470, Pine, CO",80470,"3,943",33,35,8,9,"3,771","3,628",170,"3,773",0,5,0,133,15,"3,628","109,469.76 ","87,391.00 ","46,977.00 ",9,9,"1,644",45,4,0,2,37,2
"80475, Shawnee, CO",80475,336,2,2,0,0,318,306,17,319,0,0,0,14,2,306,"86,325.37 ","73,810.00 ","34,427.00 ",0,0,129,6,0,0,0,6,0
"80476, Silver Plume, CO",80476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00 ,0.00 ,0.00 ,0,0,0,0,0,0,0,0,0
"80601, Brighton, CO",80601,"36,548",563,747,565,589,"29,121","19,065","14,969","21,579",155,354,43,"9,291",919,"19,065","82,646.58 ","69,578.00 ","27,756.00 ",159,149,"10,088","3,464",996,16,78,"2,200",164
"80602, Brighton, CO",80602,"28,984","1,977","2,674",441,550,"24,263","19,393","5,253","23,731",39,101,23,"3,702",376,"19,393","119,071.41 ","105,704.00 ","38,457.00 ",479,472,"8,224","1,246",260,7,22,899,51
"80640, Henderson, CO",80640,"11,226",318,397,203,229,"8,787","5,865","4,354","6,872",30,81,17,"2,677",354,"5,865","90,617.20 ","80,896.00 ","28,591.00 ",73,71,"2,910","1,007",283,8,20,629,65
"80820, Guffey, CO",80820,641,1,1,2,2,610,597,24,617,0,0,0,18,3,597,"58,411.46 ","47,931.00 ","28,522.00 ",1,1,302,7,1,0,0,5,1
"80830, Matheson, CO",80830,240,1,1,0,0,230,220,12,228,0,0,0,9,1,220,"65,913.26 ","53,947.00 ","27,468.00 ",0,0,92,4,1,0,0,3,0
"80835, Simla, CO",80835,912,2,2,1,1,872,842,40,872,0,0,0,27,4,842,"69,484.72 ","55,000.00 ","28,123.00 ",0,0,332,11,2,0,0,8,1
