Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"97119, Gaston, OR",97119,"4,496",67,77,18,20,"4,139","3,933",296,"4,200",1,3,1,167,26,"3,933","92,809.41 ","71,825.00 ","33,938.00 ",16,16,"1,553",65,23,0,0,2,36,4
"97123, Hillsboro, OR",97123,"47,495","3,434","3,232",683,585,"33,711","27,576","13,655","33,840",71,235,55,"6,422",636,"27,576","82,796.16 ","70,707.00 ","27,731.00 ",992,975,"12,232","3,042","1,364",19,17,54,"1,482",106
"97124, Hillsboro, OR",97124,"50,801","5,508","5,466",945,885,"37,423","33,035","8,719","42,082",67,114,83,"4,319",494,"33,035","89,026.95 ","77,418.00 ","34,674.00 ","2,230","2,216","15,245","2,166",877,22,14,29,"1,127",97
"97125, Manning, OR",97125,294,4,5,1,1,272,260,15,279,0,1,0,9,2,260,"90,391.44 ","79,412.00 ","31,062.00 ",1,1,97,3,1,0,0,0,2,0
"97127, Lafayette, OR",97127,"3,847",34,43,17,13,"3,309","2,740",891,"2,956",7,3,1,519,37,"2,740","71,345.61 ","63,754.00 ","23,200.00 ",9,8,"1,125",173,62,2,1,2,100,6
"97128, Mcminnville, OR",97128,"36,566",702,827,300,253,"30,952","26,592","7,517","29,049",104,91,61,"3,808",417,"26,592","68,912.37 ","53,304.00 ","25,870.00 ",169,165,"11,977","1,571",640,9,4,16,827,75
"97133, North Plains, OR",97133,"4,010",104,113,13,15,"3,618","3,393",330,"3,680",0,11,5,190,28,"3,393","106,215.72 ","81,991.00 ","39,252.00 ",25,24,"1,385",70,23,0,1,2,41,3
"97140, Sherwood, OR",97140,"24,179",930,"1,001",221,226,"21,186","20,017","1,704","22,475",16,24,20,943,101,"20,017","106,557.60 ","90,024.00 ","36,934.00 ",288,284,"7,608",394,143,5,4,6,225,11
"97144, Timber, OR",97144,238,2,2,1,1,224,216,10,228,0,1,0,7,1,216,"83,686.80 ","71,429.00 ","31,646.00 ",0,0,87,1,0,0,0,0,1,0
"97148, Yamhill, OR",97148,"3,274",34,43,13,19,"3,068","2,895",190,"3,084",1,3,6,106,24,"2,895","81,439.97 ","75,193.00 ","29,562.00 ",9,8,"1,131",32,12,0,1,0,19,0
"97201, Portland, OR",97201,"16,108","1,823","1,896",366,362,"12,856","12,220",816,"15,292",21,12,15,493,112,"12,220","100,256.23 ","48,824.00 ","56,208.00 ",785,779,"7,164",389,73,7,6,7,248,48
"97202, Portland, OR",97202,"41,244","2,194","2,343",900,911,"35,511","33,769","2,238","39,006",55,43,19,"1,365",311,"33,769","79,174.73 ","61,946.00 ","36,478.00 ",724,721,"16,723",729,152,13,3,16,470,75
"97203, Portland, OR",97203,"32,645","1,722","1,654","3,724","3,612","21,518","19,371","5,929","26,716",125,164,74,"2,121",662,"19,371","62,438.31 ","48,884.00 ","24,297.00 ",439,428,"8,977","1,332",629,21,11,34,521,116
"97204, Portland, OR",97204,"1,066",35,35,167,151,783,723,102,964,21,3,1,52,5,723,"21,020.59 ","15,571.00 ","13,743.00 ",18,18,322,21,3,1,0,1,15,1
"97205, Portland, OR",97205,"7,720",410,430,349,355,"6,423","6,038",495,"7,225",14,14,5,318,53,"6,038","56,180.60 ","28,985.00 ","38,258.00 ",250,247,"4,311",258,42,6,3,8,169,30
"97206, Portland, OR",97206,"49,527","5,548","5,678","1,417","1,374","37,647","35,132","4,907","44,620",86,146,49,"2,216",562,"35,132","64,765.36 ","56,581.00 ","26,819.00 ","1,592","1,583","16,807","1,295",461,17,9,38,653,117
"97208, Portland, OR",97208,"1,088",94,98,31,32,902,857,51,"1,037",1,0,2,34,4,857,"99,194.49 ","68,542.00 ","69,865.00 ",57,57,650,33,7,1,0,0,22,3
"97209, Portland, OR",97209,"14,672",823,857,803,826,"12,001","11,337",888,"13,784",27,24,17,517,118,"11,337","67,282.69 ","41,312.00 ","45,112.00 ",511,504,"7,971",455,88,10,7,13,272,65
