Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita (), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"91402, Panorama City, CA",91402,"69,700","10,105","8,609","2,126","1,472","28,825","6,063","51,674","18,026",426,404,166,"24,611","2,542","6,063","54,796.30 ","42,720.00 ","14,365.00 ","2,942","2,913","7,811","11,509","4,933",81,29,95,"5,692",679
"91403, Sherman Oaks, CA",91403,"22,374","1,702","2,033","1,085","1,232","17,743","15,450","2,409","19,965",70,16,26,"1,499",221,"15,450","126,299.84 ","84,601.00 ","60,528.00 ",747,738,"8,747",911,213,25,9,3,587,74
"91405, Van Nuys, CA",91405,"58,311","5,099","4,722","3,128","2,671","31,270","13,928","34,963","23,348",320,304,135,"17,825","1,964","13,928","61,350.31 ","42,742.00 ","20,440.00 ","1,821","1,785","10,633","8,984","3,469",67,36,82,"4,739",591
"91406, Van Nuys, CA",91406,"49,007","4,152","3,872","2,539","2,227","27,925","13,305","27,820","21,187",249,276,171,"14,842","1,915","13,305","75,188.96 ","56,770.00 ","25,011.00 ","1,362","1,322","10,031","7,018","2,428",43,40,72,"3,903",532
"91411, Van Nuys, CA",91411,"23,553","1,661","1,652","1,338","1,218","14,073","7,894","11,819","11,734",156,117,57,"6,066",646,"7,894","75,388.75 ","55,185.00 ","29,174.00 ",659,645,"5,946","3,201","1,168",36,14,29,"1,753",201
"91423, Sherman Oaks, CA",91423,"29,920","2,044","2,502","1,514","1,740","23,795","20,368","3,731","26,189",115,42,33,"2,285",330,"20,368","122,689.74 ","80,199.00 ","58,900.00 ",854,844,"11,816","1,353",282,33,10,20,904,104
"91436, Encino, CA",91436,"15,115",843,965,311,330,"13,151","12,213",942,"14,173",25,8,8,675,86,"12,213","179,290.39 ","140,221.00 ","70,419.00 ",281,279,"5,315",252,37,2,2,2,192,17
"91501, Burbank, CA",91501,"21,359","2,704","3,249",443,511,"16,180","13,347","3,048","18,311",26,24,52,"1,921",256,"13,347","88,926.36 ","71,833.00 ","34,968.00 ",961,951,"6,585","1,008",233,11,10,9,674,71
"91502, Burbank, CA",91502,"11,283","1,198","1,329",417,432,"7,778","5,209","3,635","7,648",37,61,30,"2,275",245,"5,209","61,313.28 ","45,516.00 ","26,967.00 ",494,484,"3,609","1,194",291,10,10,21,785,77
"91504, Burbank, CA",91504,"24,639","3,471","3,823",531,554,"17,353","12,438","6,646","17,993",39,54,78,"4,291",437,"12,438","104,838.31 ","80,291.00 ","38,954.00 ","1,177","1,159","6,719","1,915",479,11,18,15,"1,282",110
"91505, Burbank, CA",91505,"31,370","3,394","4,030",869,989,"22,795","16,578","8,272","23,098",53,84,68,"5,078",739,"16,578","99,822.38 ","83,258.00 ","42,610.00 ","1,280","1,261","10,379","2,534",641,9,19,27,"1,637",201
"91506, Burbank, CA",91506,"19,502","2,179","2,536",434,488,"14,221","10,001","5,478","14,024",26,65,60,"3,559",420,"10,001","99,837.42 ","81,623.00 ","40,554.00 ",737,723,"6,067","1,674",385,7,14,20,"1,136",112
"91601, North Hollywood, CA",91601,"38,182","2,806","2,885","2,883","2,844","23,055","14,067","16,532","21,650",223,202,108,"8,497","1,018","14,067","75,450.56 ","55,855.00 ","32,803.00 ","1,187","1,148","10,772","4,893","1,736",72,39,57,"2,634",355
"91602, North Hollywood, CA",91602,"18,175","1,325","1,606","1,097","1,271","13,991","11,553","2,728","15,447",72,35,29,"1,685",259,"11,553","106,038.44 ","77,142.00 ","56,023.00 ",642,632,"7,643","1,099",224,24,10,15,728,98
