Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# White Non-Hispanic Population, 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# Black Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014"
"46404, Gary, IN",46404,17633,9,9,16712,16519,435,341,456,17177,179,2,0,108,67,341,3,3,6609,171,115,32,30,0,1,38,14,47344.434138625,33154,18958
"47720, Evansville, IN",47720,17521,71,72,130,130,16996,16850,217,17304,3,1,1,136,11,16850,25,24,41,6827,47,13,0,1,0,33,0,79666.505319149,68505,31788
"46807, Fort Wayne, IN",46807,17208,516,475,3249,3102,11337,10089,2752,14456,98,20,33,1318,311,10089,119,116,1041,4752,633,240,13,3,7,323,47,54146.111493354,44671,20263
"46408, Gary, IN",46408,17104,78,72,10107,9868,5812,5052,1693,15411,186,20,6,815,196,5052,21,19,3566,2436,465,153,31,2,10,249,20,57977.453886174,43185,21640
"46774, New Haven, IN",46774,17103,107,122,533,592,16054,15651,451,16652,13,13,0,281,68,15651,23,23,164,6132,105,20,4,0,4,64,13,67135.306494316,57896,25269
"47904, Lafayette, IN",47904,17094,230,229,1043,1062,14377,13238,2085,15009,41,35,14,1038,130,13238,117,114,339,6235,492,196,11,3,9,251,22,44757.207784855,35677,19601
"46356, Lowell, IN",46356,17050,69,92,96,130,16320,15466,1042,16008,2,8,2,705,92,15466,13,12,23,6020,237,59,0,1,3,163,11,79056.366795991,69522,28902
"47172, Sellersburg, IN",47172,16812,202,231,219,250,15850,15430,630,16182,4,7,3,315,67,15430,54,54,76,6090,150,60,1,0,1,79,9,81307.959608709,67515,30842
"47725, Evansville, IN",47725,16650,265,258,289,281,15753,15613,210,16440,5,5,4,149,13,15613,92,91,101,5901,50,6,0,1,0,42,1,105833.09000651,87480,39162
"46202, Indianapolis, IN",46202,16457,766,765,6512,6482,8377,7978,743,15714,58,13,4,366,80,7978,416,414,2845,4592,279,69,21,2,7,148,32,60917.130302292,36391,32758
