Name,FIPS,"# Population, 2014","# Asian Population, Alone, 2014","# Population, Not Hispanic, Asian Alone, 2014","# Black Population, Alone, 2014","# Population, Not Hispanic, Black Alone, 2014","# White Population, Alone, 2014","# Population, Not Hispanic, White Alone, 2014","# Hispanic Population, 2014","# Population, Not Hispanic, 2014","# Population, Hispanic, Black Alone, 2014","# Population, Hispanic, American Indian and Alaska Native Alone, 2014","# Population, Hispanic, Asian Alone, 2014","# Population, Hispanic, White Alone, 2014","# Population, Hispanic, Two or More Races, 2014","# Population, Hispanic, Other Race Alone, 2014","# White Non-Hispanic Population, 2014","Average Household Income, 2014","Median Household Income, 2014","Household Income, Per Capita ($), 2014","# Asian Households, 2014","# Asian Non-Hispanic Head of Households, 2014","# White Households, 2014","# Hispanic Households, 2014","# Hispanic Head of Households, Other Race Alone, 2014","# Hispanic Head of Households, Black Alone, 2014","# Hispanic Head of Households, Asian Alone, 2014","# Hispanic Head of Households, American Indian and Alaska Native Alone, 2014","# Hispanic Head of Households, White Alone, 2014","# Hispanic Head of Households, Two or More Races, 2014"
"40456, Mount Vernon, KY",40456,8428,7,7,15,15,8299,8283,41,8387,0,1,0,17,9,14,8283,43341.679,31205,17710,2,2,3286,10,3,0,0,0,5,2
"40069, Springfield, KY",40069,8045,23,22,890,890,6898,6643,390,7655,6,0,1,248,22,113,6643,58931.67282,47179,24374,6,6,2771,69,27,1,0,0,39,2
"41858, Whitesburg, KY",41858,8039,24,22,22,20,7910,7870,55,7984,0,2,0,49,1,3,7870,51769.04486,36858,21387,10,10,3234,17,1,0,0,0,15,1
"42320, Beaver Dam, KY",42320,7970,32,23,100,81,7466,7104,691,7279,9,9,6,384,36,247,7104,53826.38061,42297,20803,10,8,2882,147,67,1,2,1,70,6
"42064, Marion, KY",42064,7945,18,18,91,93,7750,7707,48,7897,0,1,0,40,0,7,7707,54750.10599,39868,22622,3,3,3142,12,3,0,0,0,9,0
"42167, Tompkinsville, KY",42167,7835,8,7,235,229,7353,7270,227,7608,1,0,1,90,12,123,7270,42521.07771,30842,17911,2,2,3110,56,26,0,0,0,28,2
"40390, Wilmore, KY",40390,7441,180,169,115,107,6961,6923,114,7327,1,0,0,65,13,35,6923,74951.79172,49016,24101,38,38,2203,20,8,0,0,0,10,2
"41008, Carrollton, KY",41008,7408,57,56,111,110,6686,6315,782,6626,3,1,2,366,60,350,6315,61064.10743,42392,23471,14,14,2584,157,82,1,0,0,65,9
"41040, Falmouth, KY",41040,7408,13,11,40,40,7258,7195,85,7323,4,3,3,51,12,12,7195,58472.178,47523,22263,2,2,2764,18,4,1,0,1,12,0
"41179, Vanceburg, KY",41179,7271,4,4,27,28,7153,7111,43,7228,1,0,0,33,7,2,7111,44706.75156,30605,18121,1,1,2850,14,1,0,0,0,13,0
"41014, Covington, KY",41014,7249,40,37,1029,1012,5630,5549,234,7015,10,1,3,90,32,98,5549,50253.43148,40032,21649,8,8,2505,54,22,1,0,1,26,4
"42129, Edmonton, KY",42129,7202,8,8,103,105,6951,6907,94,7108,1,3,0,39,10,41,6907,46639.60931,37959,19108,1,1,2825,20,6,0,0,1,11,1
"40311, Carlisle, KY",40311,7056,15,15,49,48,6869,6788,139,6917,0,2,0,84,7,46,6788,51946.99425,45276,20702,4,4,2721,25,8,0,0,1,16,0
"41311, Beattyville, KY",41311,6974,11,10,157,145,6723,6709,47,6927,0,2,0,32,9,4,6709,43512.287,26266,18407,0,0,2641,7,1,0,0,1,5,0
